(40+0j)
(33.2-2.8j)
(15.1-2.6j)
(-7.6+2j)
(-26.8+9.3j)
(-35.7+16j)
(-32.6+18j)
(-19+12.7j)
(-0.2+0.2j)
(15.7-14.9j)
(24.4-27.2j)
(23.7-31.4j)
(15-23.8j)
(3.6-6.9j)
(-5.3+12.9j)
(-9.9+30.7j)
(-9+39j)
(-4.8+33.6j)
(-1+16.8j)
(-0.2-7j)
(-3.1-27.9j)
(-7.6-38.6j)
(-10-35.2j)
(-7.6-20j)
(-0.3-0.7j)
(10+17.1j)
(21.6+30.6j)
(25.1+29.9j)
(20.6+20.7j)
(5.7+4.9j)
(-11.5-8.2j)
(-28.5-17j)
(-36-17.5j)
(-31.8-12.3j)
(-13.4-3.9j)
(4.2+0.8j)
(25.1+2.9j)
(39.1+1.3j)
(37.2-1.9j)
(24.4-3.3j)
(2.3-0.5j)
(-22+6.9j)
(-34.7+14.2j)
(-35.1+17.9j)
(-26+16.1j)
(-4.7+3.5j)
(11.3-10j)
(21.5-22.5j)
(24.9-30.9j)
(19.3-28.5j)
(7.7-13.7j)
(-3.4+7.5j)
(-9.1+25.5j)
(-9.8+37.2j)
(-6.3+35.9j)
(-1.9+21.1j)
(-0+0.8j)
(-1.7-22.4j)
(-5.8-35.8j)
(-9.7-38.7j)
(-10.4-30.4j)
(-4.5-10.3j)
(5.3+9.7j)
(16.2+24.6j)
(24.4+31.1j)
(22+23.6j)
(15+13.6j)
(-0.5-0.4j)
(-24.8-15.9j)
(-35-18.5j)
(-33.4-14.2j)
(-25.5-8.4j)
(-4.5-1.1j)
(21+3.1j)
(33.1+2.1j)
(40-0.8j)
(31.1-3.2j)
(14.6-2.8j)
(-12.7+3.5j)
(-33.1+12.3j)
(-36+16.9j)
(-29.5+17j)
(-13.8+9.6j)
(5.8-4.8j)
(19.2-18.8j)
(24.6-28.5j)
(22.3-30.8j)
(12.2-20.3j)
(2.8-5.7j)
(-9.2+23.4j)
(-10.5+35j)
(-7.9+37.6j)
(-4.2+33.9j)
(-0.4+10.7j)
(-0.5-11.2j)
(-4.1-31.4j)
(-8.4-39j)
(-10.7-34.9j)
(-4.5-11.2j)
(4.2+8.3j)
(15+24.5j)
(23.4+31.9j)
(25.7+29.5j)
(19.1+18.5j)
(7.5+6.2j)
(-20.8-14.3j)
(-28.4-16.1j)
(-35.8-16.6j)
(-24.7-9j)
(-9.1-2.5j)
(18.2+3.3j)
(35.3+3.4j)
(39.8+0.5j)
(38.3-2.7j)
(18.3-2.9j)
(-6+1.5j)
(-21.4+7.2j)
(-32.4+14j)
(-34+18.2j)
(-15.9+10.3j)
