
(40+0j)
(33.2-2.1j)
(15.2-1.9j)
(-7.5+1.4j)
(-27.2+7j)
(-37.3+12.2j)
(-34.4+13.7j)
(-20.3+9.6j)
(-0.5+0.3j)
(18.1-11.6j)
(29.6-21.6j)
(30.3-25.2j)
(20.3-19.2j)
(5.4-5.7j)
(-10+12.2j)
(-18.9+26.2j)
(-21.3+33.8j)
(-16.1+29.4j)
(-6.8+14.5j)
(2.6-6.7j)
(8.1-25.3j)
(9.5-37.5j)
(6.8-36.5j)
(2.8-23.3j)
(-0+0.2j)
(0.1+21.5j)
(2.5+36.9j)
(5.1+39j)
(5.4+27.7j)
(1.8+6.9j)
(-5.1-15.2j)
(-11.8-29.4j)
(-17.3-36.1j)
(-16.6-29.7j)
(-9.7-15j)
(4.1+5.6j)
(16.2+19.3j)
(26.4+27.7j)
(27.9+25.8j)
(19.6+16j)
(3.7+2.6j)
(-18.2-11.4j)
(-33-17.8j)
(-35.9-16.5j)
(-26.2-10.1j)
(-11.6-3.7j)
(10.4+2.6j)
(32.2+5.8j)
(39.7+4.6j)
(33.2+1.8j)
(19.8-0.2j)
(-8.8+0.6j)
(-28.8+3.9j)
(-38.9+7.8j)
(-35.6+9.5j)
(-24.2+8.2j)
(-4.9+2j)
(20.2-9.8j)
(31.8-17.9j)
(33.2-21.6j)
(23.8-17.7j)
(8.6-7.3j)
(-9.8+9.4j)
(-19.9+21.7j)
(-25.1+31.1j)
(-20.2+28.5j)
(-9.1+14.7j)
(2.3-4.3j)
(11.5-25.3j)
(13.9-36.4j)
(11.5-37j)
(6.1-25.2j)
(0.9-4.9j)
(-2.1+18.6j)
(-1.8+37.7j)
(0.6+39.7j)
(2.5+32.8j)
(0.7+5.3j)
(-3.2-15.7j)
(-7.8-28.5j)
(-12.8-37.4j)
(-11.9-28.6j)
(-5.7-11.7j)
(1.8+3.1j)
(15.7+23.9j)
(22.3+29.6j)
(23.9+27.9j)
(13.3+13.7j)
(2.2+2j)
(-16.9-13.5j)
(-30-21j)
(-34.1-20.8j)
(-23.5-12.4j)
(-3.1-1.4j)
(16.1+6j)
(33.7+10.3j)
(37.9+9j)
(29.9+5.1j)
(11.6+1.2j)
(-11.3-0.5j)
(-27.7+0.5j)
(-38.1+3.1j)
(-38.8+5.7j)
(-28.3+6j)
(-9.9+2.8j)
(10.6-3.7j)
(29-12.2j)
(35.8-17.8j)
(23.3-13.4j)
(12.8-8.5j)
(-5.6+4.2j)
(-23.7+20.4j)
(-28.1+27.6j)
(-23.7+26.3j)
(-11+13.9j)
(7.2-10.4j)
(16-26.5j)
(18.4-35.4j)
(15.1-34j)
(7-18.8j)
