(40+0j)
(33.2-0.7j)
(15.3-0.6j)
(-7.9+0.5j)
(-28+2.4j)
(-39+4.1j)
(-36.9+4.7j)
(-22.4+3.3j)
(0.3-0j)
(21.7-4.2j)
(36.3-7.7j)
(38.3-9j)
(27.1-7j)
(7.3-2j)
(-14+4.3j)
(-31.4+10.2j)
(-37.7+13.2j)
(-32+11.9j)
(-13.8+5.5j)
(5.6-2.4j)
(24.5-11j)
(35.6-16.8j)
(33.4-16.6j)
(20.7-10.9j)
(1.3-0.7j)
(-19.1+11.1j)
(-30.6+18.6j)
(-32.9+20.9j)
(-23.6+15.8j)
(-8.5+5.9j)
(11.7-8.6j)
(26.6-20.3j)
(31.3-24.9j)
(25.7-21.4j)
(12.5-10.8j)
(-4+3.6j)
(-18.7+17.7j)
(-27.3+26.8j)
(-25.9+26.5j)
(-14.4+15.4j)
(1.4-1.5j)
(12.1-14.1j)
(23.4-28.4j)
(24.7-31.3j)
(18.6-24.7j)
(6.1-8.4j)
(-6.3+9.2j)
(-16.5+25j)
(-21.2+33.7j)
(-16.7+27.8j)
(-7.2+12.6j)
(2.1-3.9j)
(12.3-23.7j)
(17-34.6j)
(16.2-34.8j)
(9.2-20.8j)
(-0.1+0.2j)
(-6.5+16.5j)
(-12.8+34.8j)
(-12.7+37j)
(-8+25j)
(-3.2+10.9j)
(4.1-14.9j)
(8.4-33.4j)
(9-38.9j)
(7.1-33.9j)
(3.5-18.8j)
(-1+6.1j)
(-4+27.8j)
(-4.6+37.9j)
(-3.6+35.7j)
(-2.2+28.3j)
(-0.2+3.2j)
(0.8-21.9j)
(0.5-33j)
(-0.2-39.1j)
(-0.8-31.8j)
(-0.2-4.7j)
(0.5+7j)
(2.5+28.2j)
(4.4+39.6j)
(4.4+33.7j)
(3.1+20.2j)
(-0.8-4.7j)
(-5.6-28.6j)
(-8.3-37.9j)
(-8.7-36.4j)
(-5.2-19.8j)
(-1.6-5.4j)
(4.7+15.4j)
(11.8+35.5j)
(13.4+37.7j)
(10.4+27.4j)
(3.4+8.3j)
(-2.5-5.8j)
(-12.3-27.1j)
(-17.1-35.9j)
(-14.4-28.5j)
(-9.2-17.3j)
(0.8+1.4j)
(9.9+16.8j)
(20+32.5j)
(20.1+31.2j)
(12.6+18.7j)
(6+8.5j)
(-11.9-16.1j)
(-19.1-24.8j)
(-25-31.1j)
(-21.3-25.3j)
(-4.1-4.7j)
(13.3+14.5j)
(24.2+25.4j)
(28.2+28.4j)
(27.7+26.8j)
(12.7+11.7j)
(-9.7-8.6j)
(-23.6-20.1j)
(-30.8-25.1j)
(-30.9-24.1j)
(-14-10.4j)
