(40+0j)
(33.2-2.8j)
(15.1-2.6j)
(-7.2+1.9j)
(-26.7+9.3j)
(-35.9+16j)
(-32.5+17.9j)
(-18.5+12.3j)
(-0.1+0j)
(15.6-14.7j)
(24.7-27.6j)
(23.6-31.2j)
(15.1-23.9j)
(4-7.7j)
(-6.1+14.7j)
(-10+31.2j)
(-9+39j)
(-4.8+33.4j)
(-0.9+15.8j)
(-0.2-7.4j)
(-3.1-27.9j)
(-7.5-38.3j)
(-10.3-36.2j)
(-8-21.1j)
(0.3+0.6j)
(11.5+19.6j)
(21+29.7j)
(25.2+30.1j)
(19.8+19.9j)
(7.3+6.2j)
(-10.8-7.7j)
(-27.9-16.6j)
(-36-17.5j)
(-30.9-11.9j)
(-17.3-5.1j)
(8.7+1.8j)
(28+3.3j)
(39.4+1.3j)
(37-1.9j)
(21.6-2.9j)
(3.3-0.7j)
(-20.3+6.4j)
(-34.7+14.2j)
(-35.4+18.1j)
(-24+14.9j)
(-6.5+4.8j)
(7.8-6.9j)
(22-23j)
(25.1-31.1j)
(19.8-29.3j)
(7.8-14j)
(-3.2+7.1j)
(-9.6+26.8j)
(-9.8+37.2j)
(-6.7+38.2j)
(-2+21.8j)
(-0+1.3j)
(-1.8-23.8j)
(-6-36.9j)
(-9.6-38.5j)
(-9.8-28.7j)
(-4.6-10.4j)
(8.7+15.9j)
(15.7+23.9j)
(24.7+31.4j)
(24.3+26.1j)
(9.6+8.8j)
(-4.3-3.3j)
(-22.3-14.2j)
(-35-18.4j)
(-34.3-14.5j)
(-18.8-6.2j)
(-0.4-0.1j)
(21.5+3.2j)
(37.6+2.4j)
(40-0.8j)
(26.1-2.7j)
(12.2-2.3j)
(-7.5+2.1j)
(-32.2+12j)
(-36.2+17j)
(-27.6+15.9j)
(-13.3+9.2j)
(1.1-0.9j)
(18.3-18j)
(25-29j)
(22-30.4j)
(14.2-23.6j)
(3.9-7.9j)
(-8.5+21.7j)
(-9.6+32.2j)
(-8.2+39.1j)
(-3.2+25.5j)
(-0.5+13.9j)
(-0.9-19.1j)
(-3.9-30.1j)
(-8.4-38.8j)
(-10.2-33.4j)
(-7.9-19.7j)
(1.6+3.2j)
(15.4+25.1j)
(23.6+32.2j)
(24.9+28.5j)
(14.6+14.1j)
(6+4.9j)
(-21.4-14.7j)
(-33.1-18.8j)
(-36.3-16.8j)
(-27.8-10.1j)
(-9.1-2.5j)
(14+2.6j)
(31.8+3.1j)
(39.2+0.5j)
(33-2.3j)
(23.8-3.7j)
(-5.4+1.3j)
(-22.2+7.4j)
(-35.2+15.2j)
(-34.1+18.2j)
(-23.4+15.2j)
